Goals_pG,Assists_pG,Yel_pG,Red_pG,Shot_pG,Pass_success_rate,AerialsWon_pG,Rating
0.142857143,0,0,0,1.4,65.6,2.9,6.9
0.384615385,0.153846154,0.076923077,0,1.5,74.1,0.3,6.9
0,0,0,0,0,83.8,0.2,6.9
0.444444444,0.111111111,0.111111111,0,3,74.7,0.2,6.9
0.090909091,0.090909091,0.181818182,0,1.1,81.6,0.5,6.9
0.2,0.1,0.1,0,1.2,72,0.8,6.9
0.333333333,0,0,0,3,83,0.4,6.9
0,0.416666667,0.333333333,0,0.7,79.8,0.8,6.9
0,0,0,0,0,63.2,0.5,6.89
0,0.266666667,0.066666667,0,0.5,80.4,1.7,6.89
0,0,0.2,0,0.3,77.7,3.9,6.89
0.2,0,0,0,1.5,78.1,0.1,6.89
0.2,0,0.2,0,0.6,88.2,1.9,6.89
0.230769231,0.076923077,0.153846154,0,1.5,72.8,0.3,6.89
0,0.083333333,0.333333333,0.083333333,0.2,89.1,2.2,6.89
0.181818182,0,0.181818182,0,1.5,82,2.6,6.88
0,0,0,0,0,71.6,0.3,6.88
0,0.090909091,0.090909091,0,1.6,87.8,0.1,6.88
0,0,0.133333333,0,0,68.7,0.3,6.88
0.083333333,0.166666667,0.166666667,0,0.9,85.3,0.2,6.88
0.214285714,0.214285714,0.071428571,0,1.9,77.5,0.1,6.88
0,0.083333333,0.333333333,0,0.5,67.6,1.6,6.88
0,0,0,0,0,63.1,0.3,6.88
0.416666667,0,0.083333333,0,1.9,81.6,1.2,6.88
0.428571429,0.214285714,0,0,1.9,71.2,0.1,6.88
0,0.142857143,0.214285714,0,0.4,86.4,0.9,6.88
0,0.133333333,0.066666667,0,1.2,82.7,0.3,6.88
0.615384615,0.153846154,0,0.076923077,2.4,73.5,0.7,6.87
0,0,0.142857143,0,0.2,86.9,1.2,6.87
0,0,0.2,0,0.7,81.1,0.6,6.87
0,0,0.25,0,0.3,80.7,1,6.87
0.066666667,0.2,0.066666667,0,1.3,84.3,0.2,6.87
0.066666667,0.333333333,0.266666667,0,1.1,83.5,0.1,6.87
0.076923077,0,0.307692308,0,0.4,83.1,2.8,6.87
0.153846154,0.153846154,0.153846154,0,0.9,82,1.5,6.87
0.384615385,0.230769231,0.076923077,0.076923077,2.9,63.3,3.2,6.87
0,0,0.272727273,0.090909091,0.9,90.1,0.5,6.87
0.2,0.133333333,0.066666667,0,0.8,83.5,0.1,6.86
0.181818182,0.090909091,0.090909091,0,0.5,84.9,2.9,6.86
0.071428571,0,0.071428571,0,0.7,95.1,1.1,6.86
0.181818182,0,0.272727273,0,0.5,86.1,1.9,6.86
0,0,0.133333333,0,0,67.1,0.2,6.86
0.214285714,0,0.285714286,0,0.9,71.9,1.1,6.86
0,0,0,0,0,80.2,0.5,6.86
0.181818182,0.090909091,0.363636364,0,0.7,82,0.5,6.86
0.066666667,0,0,0,0.7,85.1,1.9,6.86
0.266666667,0,0.133333333,0,2,77.1,0.7,6.86
0.461538462,0.076923077,0.230769231,0.076923077,2.3,60.2,1.5,6.86
0.076923077,0.076923077,0.153846154,0.076923077,0.5,88,0.4,6.85
0,0,0.153846154,0,1.2,73.5,0.4,6.85
0.133333333,0.133333333,0,0,1.7,85.6,0.5,6.85
0.071428571,0.071428571,0.142857143,0,0.7,82.2,2.9,6.85
0.071428571,0.142857143,0,0,0.6,80.6,1.5,6.85
0.066666667,0.066666667,0.066666667,0,1.4,87.3,0.3,6.85
0,0,0.133333333,0,0,53.5,0.1,6.85
0.166666667,0.083333333,0,0,0.8,79.3,1.6,6.85
0,0.222222222,0,0,0.7,81.1,0.4,6.84
0.111111111,0.333333333,0,0.111111111,1.6,85.4,0.3,6.84
0.181818182,0.181818182,0,0,0.7,85.8,0.6,6.84
0.466666667,0.066666667,0.066666667,0,1.6,79.8,0.1,6.84
0.1,0.1,0.1,0,0.7,85.9,0.7,6.84
0,0.066666667,0.266666667,0,0.5,84.7,1.9,6.84
0,0,0.066666667,0,0,49.8,0.4,6.84
0.083333333,0,0,0.083333333,0.9,80.3,0.8,6.84
0.181818182,0.181818182,0.363636364,0,1.5,69.5,0.8,6.84
0.076923077,0.153846154,0.307692308,0,1.3,76.8,0.5,6.84
0.214285714,0.071428571,0.071428571,0,1.3,85.1,1.5,6.84
0.181818182,0.090909091,0.090909091,0,1.4,74.8,1.4,6.83
0.066666667,0.133333333,0.133333333,0,0.8,83.2,1.3,6.83
0.066666667,0,0.266666667,0,0.9,81.9,1.6,6.83
0.142857143,0.142857143,0.142857143,0,1.6,73.7,2.4,6.83
0.142857143,0.142857143,0.142857143,0,1.6,80.7,0.3,6.83
0.133333333,0.066666667,0.066666667,0,1.3,73.1,0.5,6.83
0.142857143,0.071428571,0.285714286,0,0.2,92.1,1.4,6.83
0.1,0.2,0,0,1.6,79.7,0.3,6.83
0.230769231,0.230769231,0,0,1.9,72.5,1.2,6.83
0.333333333,0,0,0,1.7,80.6,0.5,6.83
0.071428571,0.071428571,0.142857143,0,0.7,86.9,0.4,6.83
0.307692308,0,0.153846154,0,1.5,65.6,0.5,6.83
0,0,0.307692308,0,0.1,88.5,2,6.83
0.333333333,0.083333333,0,0.083333333,1.3,68.4,0.3,6.83
0.071428571,0,0.142857143,0,1,77.5,0.6,6.83
0.428571429,0,0.071428571,0,2.2,69.3,0.4,6.82
0,0,0,0,0.2,87,0.3,6.82
0.266666667,0.066666667,0,0,1.3,60.6,5,6.82
0.615384615,0,0.307692308,0,1.8,72.1,0.5,6.82
0,0,0.285714286,0,0.5,89,1.1,6.82
0,0,0.2,0,0,63.4,0.2,6.82
0.333333333,0.133333333,0.266666667,0,2.2,47.7,2.2,6.82
0.083333333,0,0.166666667,0,0.4,91.9,2.2,6.82
0,0,0.181818182,0.090909091,0.2,88.8,2.5,6.82
0.133333333,0.133333333,0.133333333,0,1.8,63.9,0.7,6.82
0.090909091,0,0.090909091,0,0.7,93.4,1.2,6.82
0.133333333,0.066666667,0,0,1,77.9,0,6.82
0,0.2,0.2,0,0,91.6,1.3,6.82
0.3,0.4,0.5,0.1,2.2,50.4,2.4,6.82
0,0.142857143,0.285714286,0.071428571,0.4,76.9,1.5,6.81
0.214285714,0.214285714,0.071428571,0,1.4,79.4,0.2,6.81
0.2,0.066666667,0,0,2.3,74.3,1.8,6.81
0,0.090909091,0.090909091,0,0.9,76.6,2.2,6.81
0.2,0.066666667,0.2,0,1.1,78.5,0.9,6.81
0,0.214285714,0.071428571,0,0.7,69,0.5,6.81
0,0,0,0,0.5,85.7,2,6.81
0,0,0.1,0,1,88.4,1.5,6.81
0,0,0.071428571,0,0,51,0.2,6.8
0.071428571,0.071428571,0.357142857,0,0.7,86.6,0.7,6.8
0,0,0,0,0.4,92.2,2.2,6.8
0,0,0.3,0.1,0.9,89.2,0.4,6.8
0.285714286,0.142857143,0.071428571,0,2.3,75.7,1,6.8
0.153846154,0,0.230769231,0,0.9,86.2,0.7,6.8
0,0,0.2,0,1.3,68.7,0.6,6.8
0.428571429,0.142857143,0.071428571,0,1.1,77.7,0.6,6.8
0.533333333,0.066666667,0.066666667,0,2.6,66,0.5,6.8
0,0.333333333,0,0,0.4,83.2,0.7,6.79
0,0.25,0.166666667,0,0.3,79.8,0.7,6.79
0.166666667,0,0.333333333,0,1.8,72.7,1.3,6.79
0.111111111,0,0.222222222,0.111111111,0.8,85.2,1.9,6.79
0.090909091,0,0.272727273,0.090909091,0.6,87.8,2.6,6.79
0,0.333333333,0.555555556,0,0.3,73.9,1.1,6.79
0,0,0.142857143,0,0.4,81.3,1.6,6.79
0.076923077,0.153846154,0.076923077,0,1.1,78.7,0.2,6.79
0.133333333,0,0.133333333,0,0.9,84.9,0.5,6.78
0,0,0.555555556,0,1.2,87.3,1.9,6.78
0,0,0.214285714,0,0.2,86.4,1.3,6.78
0.071428571,0,0.071428571,0,1.1,88.8,2.7,6.78
0,0.1,0.2,0,0.4,90.4,0.2,6.78
0,0,0.166666667,0,0,65.6,0.3,6.78
0.083333333,0,0.083333333,0,0.7,88,2.8,6.78
0.066666667,0,0,0,0.5,87.9,2.7,6.78
0.285714286,0.071428571,0,0,2.1,70.7,2.3,6.78
0,0,0.142857143,0,1.1,89.1,1.3,6.78
0,0,0,0,0,64.9,0.3,6.78
0,0,0.076923077,0,0,67.5,0,6.78
0.2,0,0.3,0.1,0.4,84.4,1,6.78
0.461538462,0,0,0,2.5,75.3,0.8,6.78
0.111111111,0,0.222222222,0,0.3,91.4,0.9,6.78
0.066666667,0,0.133333333,0,0.4,92.3,0.6,6.78
0.285714286,0.071428571,0.071428571,0,2,60.4,2.1,6.78
0.090909091,0,0.363636364,0,1,88.4,1.1,6.78
0,0.071428571,0.285714286,0,0.9,87.8,1.1,6.77
0,0.272727273,0,0,0.4,87.9,0.7,6.77
0,0.066666667,0.133333333,0,0.1,85.4,1.6,6.77
0,0,0.222222222,0,1.2,73.6,1.4,6.77
0.083333333,0,0.5,0.083333333,0.7,80.4,2.6,6.77
0.466666667,0,0.066666667,0,2.5,70.8,0.3,6.77
0,0,0.3,0,0,87.8,2.4,6.77
0,0.230769231,0.076923077,0,0.8,78.6,0.5,6.77
0.133333333,0.133333333,0.133333333,0,0.7,80.3,0.5,6.77
0.166666667,0.083333333,0.083333333,0,0.6,86.7,1.7,6.77
0.266666667,0.066666667,0.2,0,2.4,61.9,2.1,6.76
0,0,0.133333333,0,0.6,79.9,2.1,6.76
0.153846154,0.153846154,0.153846154,0,1.2,71.8,1.2,6.76
0.1,0.1,0.1,0,1,73.3,0.4,6.76
